time,bikes_available,docks_available
0:00:00,10.65338059,12.29382043
0:30:00,10.65032715,12.29623773
1:00:00,10.65139949,12.29516539
1:30:00,10.64440204,12.30216285
2:00:00,10.64270422,12.30386067
2:30:00,10.64249364,12.30407125
3:00:00,10.64185751,12.30470738
3:30:00,10.63991197,12.30665292
4:00:00,10.61531611,12.33124878
4:30:00,10.58486449,12.36170039
5:00:00,10.54250692,12.40405796
5:30:00,10.44531367,12.50125122
6:00:00,10.27260307,12.67396181
6:30:00,9.93011937,13.01595416
7:00:00,9.176342856,13.76332636
7:30:00,8.498413414,14.43670109
8:00:00,7.213520835,15.71389647
8:30:00,6.023584638,16.89249133
9:00:00,5.39914792,17.50797676
9:30:00,5.007882776,17.89601581
10:00:00,4.98127295,17.92315804
10:30:00,5.125151962,17.77745399
11:00:00,5.306678132,17.60104695
11:30:00,5.316959156,17.59263937
12:00:00,5.238717449,17.66977492
12:30:00,5.405978043,17.51580771
13:00:00,5.60251839,17.32558111
13:30:00,5.91872982,17.0030259
14:00:00,5.814294626,17.1055527
14:30:00,5.820148727,17.09524567
15:00:00,6.056824573,16.85907873
15:30:00,6.338666895,16.57749087
16:00:00,7.037950727,15.86986663
16:30:00,7.679290272,15.22147309
17:00:00,7.934251352,14.95446936
17:30:00,8.690997309,14.18555601
18:00:00,9.255310144,13.61746339
18:30:00,9.77842541,13.08308639
19:00:00,10.15068924,12.71190618
19:30:00,10.362044,12.50500434
20:00:00,10.44195862,12.43924257
20:30:00,10.39511026,12.52395178
21:00:00,10.42703194,12.51812556
21:30:00,10.53441758,12.41857931
22:00:00,10.59501801,12.35536367
22:30:00,10.62855766,12.32182402
23:00:00,10.61478987,12.33559181
23:30:00,10.64126768,12.309114
